original_title,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,Genre1,Genre2,Genre3,Genre4,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,id,cast1,Actor1,Cast2,Actor2,cast3,Actor3,cast4,Actor4,original_language,tagline,homepage,title,overview,,status,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,production_companies6,production_companies7,production_companies8,production_companies9,production_companies10,production_companies11,production_countries Code 1,production_countries 1,production_countries Code 2,production_countries 2,production_countries Code 3,production_countries 3,production_countries code 4,production_countries 4,Spoken Language Code 1,Spoken Language 1,Spoken Language Code 2,Spoken Language 2,Spoken Language Code 3,Spoken Language 3,Spoken Language Code 4,Spoken Language 4,Spoken Language Code 5,Spoken Language 5,Spoken Language Code 6,Spoken Language 6,ProfitFactor
Spider-Man,139000000,821708551,82.502566,1/5/02,121,6.8,5265,Fantasy,Action,,,lossoflover,spider,thanksgiving,badboss,hostility,marvelcomic,superhero,pokies,evil,referencetosuperman,goblin,,,,,,,,,,,,,,,,557,PeterParker/Spider-Man,TobeyMaguire,NormanOsborn/GreenGoblin,MaryJaneWatson,KirstenDunst,HarryOsborn,BenParker,CliffRobertson,en,Withgreatpowercomesgreatresponsibility.,http://www.sonypictures.com/movies/spider-man/,Spider-Man,"Afterbeingbittenbyageneticallyalteredspider,nerdyhighschoolstudentPeterParkerisendowedwithamazingpowers.",,Released,ColumbiaPictures,MarvelEnterprises,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
How to Train Your Dragon 2,145000000,609123048,100.21391,12/6/14,102,7.6,3106,Fantasy,Action,Adventure,Animation,fathersonrelationship,wifehusbandrelationship,sacrifice,viking,sequel,rescue,dragon,mothersonrelationship,deathofhusband,warrior,3d,,,,,,,,,,,,,,,,82702,Hiccup(voice),JayBaruchel,StoicktheVast(voice),Ruffnut(voice),KristenWiig,Snotlout(voice),Valka(voice),CateBlanchett,en,Thetrainingisover.,http://www.howtotrainyourdragon.com/,HowtoTrainYourDragon2,"ThethrillingsecondchapteroftheepicHowToTrainYourDragontrilogybringsbackthefantasticalworldofHiccupandToothlessfiveyearslater.WhileAstrid,Snotloutandtherestofthegangarechallengingeachothertodragonraces(theisland'snewfavoritecontactsport),thenowinseparablepairjourneythroughtheskies,chartingunmappedterritoriesandexploringnewworlds.WhenoneoftheiradventuresleadstothediscoveryofasecreticecavethatishometohundredsofnewwilddragonsandthemysteriousDragonRider,thetwofriendsfindthemselvesatthecenterofabattletoprotectthepeace.",,Released,DreamWorksAnimation,MadHatterEntertainment,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Gods of Egypt,140000000,150680864,56.257249,25/2/16,127,5.3,1277,Fantasy,,,,egypt,underworld,fight,mythology,nile,war,thief,rescue,desert,gods,egyptianmythology,egyptian,myth,,,,,,,,,,,,,,205584,Bek,BrentonThwaites,Horus,Set,GerardButler,Zaya,Hathor,ElodieYung,en,Thebattleforeternitybegins,,GodsofEgypt,AcommonthiefjoinsamythicalgodonaquestthroughEgypt.,,Released,SummitEntertainment,MysteryClockCinema,ThunderRoadPictures,TIKFilms,Pyramania,,,,,,,AU, Australia, US, United States of America,,,,,en,English,,,,,,,,,,,1
Stealth,135000000,76932943,17.88953,28/7/05,121,4.9,331,Action,,,,artificialintelligence,u.s.navy,aftercreditsstinger,,,,,,,,,,,,,,,,,,,,,,,,10048,Lt.BenGannon,JoshLucas,Lt.KaraWade,Lt.HenryPurcell,JamieFoxx,Capt.GeorgeCummings,Dr.KeithOrbit,RichardRoxburgh,en,FearTheSky,,Stealth,"Deeplyensconcedinatop-secretmilitaryprogram,threepilotsstruggletobringanartificialintelligenceprogramundercontrol...beforeitinitiatesthenextworldwar.",,Released,LauraZiskinProductions,OriginalFilm,ColumbiaPicturesCorporation,PhoenixPictures,AFGTalonsProductions,,,,,,,US, United States of America,,,,,,,en,English,de,German,Ko,Korean,ru,Russian,es,"Spanish, Castilian",,,0
Watchmen,130000000,185258983,64.798873,5/3/09,163,7,2811,Action,Mystery,ScienceFiction,,dccomics,secretidentity,massmurder,retirement,basedoncomicbook,conspiracy,nuclearwar,doomsday,soviet,maskedvigilante,doomsdayclock,redsquare,deathofsuperhero,americanpresident,1980s,,,,,,,,,,,,13183,LaurieJupiter/SilkSpectreII,Malin\u00c5kerman,JonOsterman/Dr.Manhattan,SallyJupiter/SilkSpectre,CarlaGugino,EdwardBlake/TheComedian,DanDreiberg/NiteOwlII,PatrickWilson,en,Justiceiscomingtoallofus.Nomatterwhatwedo.,https://www.warnerbros.com/watchmen,Watchmen,"Inagrittyandalternate1985theglorydaysofcostumedvigilanteshavebeenbroughttoaclosebyagovernmentcrackdown,butafteroneofthemaskedveteransisbrutallymurderedaninvestigationintothekillerisinitiated.Thereunitedheroessetouttopreventtheirowndestruction,butindoingsouncoverasinisterplotthatputsallofhumanityingravedanger.",,Released,ParamountPictures,DCComics,LawrenceGordonProductions,LegendaryPictures,WarnerBros.,CruelandUnusualFilms,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Lethal Weapon 4,140000000,285444603,24.855701,10/7/98,127,6.3,767,Action,Adventure,Comedy,Crime,lapd,houseonfire,revolver,,,,,,,,,,,,,,,,,,,,,,,,944,MartinRiggs,MelGibson,RogerMurtaugh,LeoGetz,JoePesci,LornaCole,WahSingKu,JetLi,en,Thefacesyoulove.Theactionyouexpect.,,LethalWeapon4,"Inthecombustibleactionfranchise'sfinalinstallment,maverickdetectivesMartinRiggsandRogerMurtaughsquareoffagainstAsianmobsterWahSingKu,who'suptohisneckinslavetradingandcounterfeitcurrency.WithhelpfromgumshoeLeoGetzandsmart-aleckrookiecopLeeButters,RiggsandMurtaughaimtotakedownKuandhisgang.",,Released,SilverPictures,Donner/Shuler-DonnerProductions,WarnerBros.,,,,,,,,,US, United States of America,,,,,,,en,English,cn,Chinese,zh,Chinese,,,,,,,1
Hulk,137000000,245360480,34.981698,19/6/03,138,5.3,1533,Drama,Action,ScienceFiction,,california,sanfrancisco,monster,general,gun,dna,mutation,psychology,berkeley,transformation,frog,president,marvelcomic,superhero,goldengatebridge,doctor,fear,scientist,dog,desert,anger,mirror,phone,military,cell,"id:179100,name:hulk",1927,BruceBanner/TheHulk,EricBana,BettyRoss,ThaddeusE.\Thunderbolt\Ross,SamElliott,GlennTalbot,TheFather,NickNolte,en,Unleashtheherowithin,,Hulk,"BruceBanner,ageneticsresearcherwithatragicpast,suffersmassiveradiationexposureinhislaboratorythatcauseshimtotransformintoaraginggreenmonsterwhenhegetsangry.",,Released,UniversalPictures,GoodMachine,ValhallaMotionPictures,MarvelEnterprises,,,,,,,,US, United States of America,,,,,,,en,English,es,"Spanish, Castilian",,,,,,,,,1
G.I. Joe: Retaliation,130000000,371876278,59.325589,26/3/13,110,5.4,3025,Adventure,Action,ScienceFiction,Thriller,terror,assassin,secret,technology,missile,warhead,president,rescue,conspiracy,explosion,battle,surveillance,cobra,,,,,,,,,,,,,,72559,MarvinHinton/Roadblock,DwayneJohnson,DashiellFaireborn/Flint,JayeBurnett/LadyJaye,AdriannePalicki,JoeColton,SnakeEyes,RayPark,en,,http://www.gijoemovie.com,G.I.Joe:Retaliation,"Framedforcrimesagainstthecountry,theG.I.JoeteamisterminatedbyPresidentialorder.ThisforcestheG.I.JoesintonotonlyfightingtheirmortalenemyCobra;theyareforcedtocontendwiththreatsfromwithinthegovernmentthatjeopardizetheirveryexistence.",,Released,ParamountPictures,DiBonaventuraPictures,Hasbro,SkydanceProductions,Metro-Goldwyn-Mayer(MGM),SaintsLA,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Sahara,130000000,119269486,21.605568,6/4/05,124,5.7,434,Action,Adventure,Comedy,Drama,tyrant,ironcladship,,,,,,,,,,,,,,,,,,,,,,,,,7364,DirkPitt,MatthewMcConaughey,EvaRojas,AlGiordino,SteveZahn,AdmiralJimSandecker,GeneralZatebKazim,LennieJames,en,DirkPitt.Adventurehasanewname.,,Sahara,"Scouringtheoceandepthsfortreasure-ladenshipwrecksisbusinessasusualforathrill-seekingunderwateradventurerandhiswisecrackingbuddy.Butwhenthesetwocrosspathswithabeautifuldoctor,theyfindthemselvesontheultimatetreasurehunt.",,Released,ParamountPictures,BristolBayProductions,BaldwinEntertainmentGroup,DesertlandsEntertainment,MaceNeufeldProductions,Kanzaman,J.K.LivinProductions,Moguletta,SaharaProductions,BabelsbergFilm,,DE, Germany, ES, Spain, GB, United Kingdom, US, United States of America,en,English,fr,French,ar,Arabic,,,,,,,0
Final Fantasy: The Spirits Within,137000000,85131830,26.074908,2/7/01,106,5.9,433,Adventure,Action,Animation,Fantasy,battleassignment,dystopia,alien,downfall,scientist,basedonvideogame,,,,,,,,,,,,,,,,,,,,,2114,Dr.Cid(voice),DonaldSutherland,Dr.AkiRoss(voice),Cap.GrayEdwards(voice),AlecBaldwin,Sgt.RyanWhitaker(voice),Off.NeilFleming(voice),SteveBuscemi,en,Unleashanewreality,,FinalFantasy:TheSpiritsWithin,"Ledbyastrangedream,scientistAkiRossstrugglestocollecttheeightspiritsinthehopeofcreatingaforcepowerfulenoughtoprotecttheplanet.WiththeaidoftheDeepEyesSquadronandhermentor,Dr.Sid,AkimustsavetheEarthfromitsdarkesthateandunleashthespiritswithin.",,Released,ColumbiaPictures,SquareUSA,ChrisLeeProductions,,,,,,,,,JP, Japan, US, United States of America,,,,,en,English,,,,,,,,,,,0
Captain America: The First Avenger,140000000,370569774,74.506246,22/7/11,124,6.6,7047,Action,Adventure,ScienceFiction,,newyork,usa,worldwarii,nazis,marvelcomic,superhero,basedoncomicbook,nazigermany,perioddrama,brooklynnewyorkcity,captainamerica,aftercreditsstinger,marvelcinematicuniverse,3d,,,,,,,,,,,,,1771,SteveRogers/CaptainAmerica,ChrisEvans,JohannSchmidt/RedSkull,Col.ChesterPhillips,TommyLeeJones,PeggyCarter,JamesBuchanan'Bucky'Barnes,SebastianStan,en,Whenpatriotsbecomeheroes,http://captainamerica.marvel.com/,CaptainAmerica:TheFirstAvenger,"PredominantlysetduringWorldWarII,SteveRogersisasicklymanfromBrooklynwho'stransformedintosuper-soldierCaptainAmericatoaidinthewareffort.RogersmuststoptheRedSkulläóñAdolfHitler'sruthlessheadofweaponry,andtheleaderofanorganizationthatintendstouseamysteriousdeviceofuntoldpowersforworlddomination.",,Released,MarvelStudios,,,,,,,,,,,US, United States of America,,,,,,,fr,French,no,Norwegian,en,English,,,,,,,1
The World Is Not Enough,135000000,361832400,39.604363,8/11/99,128,6,862,Adventure,Action,Thriller,,british,mission,oil,heiress,bilbaospain,britishsecretservice,,,,,,,,,,,,,,,,,,,,,36643,JamesBond,PierceBrosnan,ElektraKing,Renard,RobertCarlyle,Dr.ChristmasJones,ValentinZukovsky,RobbieColtrane,en,Asthecountdownbeginsforthenewmillenniumthereisstillonenumberyoucanalwayscounton.,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,TheWorldIsNotEnough,"Greed,revenge,worlddominanceandhigh-techterrorismäóñit'sallinaday'sworkforBond,who'sonamissiontoaprotectbeautifuloilheiressfromanotoriousterrorist.Inaraceagainsttimethatculminatesinadramaticsubmarineshowdown,Bondworkstodefusetheinternationalpowerstrugglethathastheworld'soilsupplyhanginginthebalance.",,Released,EonProductions,Metro-Goldwyn-Mayer(MGM),,,,,,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,ru,Russian,,,,,,,,,1
Master and Commander: The Far Side of the World,150000000,212011111,36.973031,14/11/03,138,6.9,790,Adventure,,,,naturalist,frigate,selfsurgery,seabattle,weevil,,,,,,,,,,,,,,,,,,,,,,8619,CaptainJackAubrey,RussellCrowe,Dr.StephenMaturin,1stLt.TomPullings,JamesD'Arcy,BarrentBonden,WilliamWarley,JosephMorgan,en,Thecouragetodotheimpossibleliesintheheartsofmen.,http://www.masterandcommanderthefarsideoftheworld.com/,MasterandCommander:TheFarSideoftheWorld,"AfteranabruptandviolentencounterwithaFrenchwarshipinflictsseveredamageuponhisship,acaptainoftheBritishRoyalNavybeginsachaseovertwooceanstocaptureordestroytheenemy,thoughhemustweighhiscommitmenttodutyandferociouspursuitofgloryagainstthesafetyofhisdevotedcrew,includingtheship'sthoughtfulsurgeon,hisbestfriend.",,Released,UniversalPictures,TwentiethCenturyFoxFilmCorporation,SamuelGoldwynFilms,Miramax,,,,,,,,US, United States of America,,,,,,,fr,French,pt,Portuguese,en,English,,,,,,,1
The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,99.687084,13/11/12,115,6.1,2553,Adventure,Fantasy,Drama,Romance,vampire,romance,villainess,superstrength,imprinting,crossbreed,bloodsucker,grudge,vampirevsvampire,chiefofpolice,dhampir,forkswashington,wolfpack,misinformation,seeingthefuture,fangvamp,,,,,,,,,,,50620,Isabella'Bella'Swan,KristenStewart,EdwardCullen,JacobBlack,TaylorLautner,CarlisleCullen,EsmeCullen,ElizabethReaser,en,Theepicfinalethatwillliveforever,,TheTwilightSaga:BreakingDawn-Part2,"AfterthebirthofRenesmee,theCullensgatherothervampireclansinordertoprotectthechildfromafalseallegationthatputsthefamilyinfrontoftheVolturi.",,Released,SummitEntertainment,SunsweptEntertainment,TempleHillEntertainment,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Happy Feet Two,130000000,150406466,17.7735,17/11/11,100,5.8,373,Animation,Comedy,Family,,penguin,musical,aftercreditsstinger,3d,,,,,,,,,,,,,,,,,,,,,,,65759,Mumble(voice),ElijahWood,Ramon/Lovelace(voice),Gloria(voice),Pink,Erik(voice),Lombardo(voice),JohnnyA.Sanchez,en,Everystepcounts.,http://happyfeettwo.warnerbros.com/index.html,HappyFeetTwo,"Mumblethepenguinhasaproblem:hissonErik,whoisreluctanttodance,encountersTheMightySven,apenguinwhocanfly!ThingsgetworseforMumblewhentheworldisshakenbypowerfulforces,causinghimtobringstogetherthepenguinnationsandtheiralliestosetthingsright.",,Released,VillageRoadshowPictures,WarnerBros.,DrDStudios,KennedyMillerMitchell,,,,,,,,AU, Australia,,,,,,,en,English,,,,,,,,,,,1
The Incredible Hulk,150000000,163712074,62.898336,12/6/08,114,6.1,3021,ScienceFiction,Action,Adventure,,newyork,riodejaneiro,marvelcomic,superhero,basedoncomicbook,ontherun,fugitive,supersoldier,tonystark,virginia,military,hulk,marvelcinematicuniverse,angry,brucebanner,,,,,,,,,,,,1724,BruceBanner/TheHulk,EdwardNorton,BettyRoss,EmilBlonsky/Abomination,TimRoth,GeneralThaddeus\Thunderbolt\Ross/TheRedHulk,Dr.SamuelSterns/TheLeader,TimBlakeNelson,en,You'lllikehimwhenhe'sangry.,,TheIncredibleHulk,"ScientistBruceBannerscourstheplanetforanantidotetotheunbridledforceofragewithinhim:theHulk.Butwhenthemilitarymastermindswhodreamofexploitinghispowersforcehimbacktocivilization,hefindshimselfcomingfacetofacewithanew,deadlyfoe.",,Released,UniversalPictures,MarvelStudios,ValhallaMotionPictures,MVLIncredibleProductions,,,,,,,,US, United States of America,,,,,,,pt,Portuguese,es,"Spanish, Castilian",en,English,,,,,,,1
The BFG,140000000,183345589,44.19092,1/6/16,120,6,1000,Adventure,Family,Fantasy,,londonengland,england,basedonnovel,queen,littlegirl,orphan,cannibal,giant,evilbrother,,,,,,,,,,,,,,,,,,267935,Sophie,RubyBarnhill,TheBFG,Mary,RebeccaHall,Fleshlumpeater,Bloodbottler,BillHader,en,Theworldismoregiantthanyoucanimagine.,http://movies.disney.com/the-bfg,TheBFG,"TheBFGisnoordinarybone-crunchinggiant.Heisfartooniceandjumbly.It'sluckyforSophiethatheis.HadshebeencarriedoffinthemiddleofthenightbytheBloodbottler,oranyoftheothergiantsäóîratherthantheBFGäóîshewouldhavesoonbecomebreakfast.WhenSophiehearsthatthegiantsareflush-bunkingofftoEnglandtoswollompafewnicelittlechiddlers,shedecidesshemuststopthemonceandforall.AndtheBFGisgoingtohelpher!",,Released,WaltDisneyPictures,AmblinEntertainment,RelianceEntertainment,"Kennedy/MarshallCompany,The",WaldenMedia,,,,,,,IN, India, US, United States of America,,,,,en,English,,,,,,,,,,,1
The Revenant,135000000,532950503,100.635882,25/12/15,156,7.3,6396,Western,Drama,Adventure,Thriller,fathersonrelationship,rape,basedonnovel,mountains,winter,grizzlybear,wilderness,frontier,revenge,murder,nativeamerican,survival,bear,snow,violence,animaldeath,bearattack,deathofson,basedontrueevents,furtrapper,,,,,,,281957,HughGlass,LeonardoDiCaprio,JohnFitzgerald,JimBridger,WillPoulter,CaptainAndrewHenry,Anderson,PaulAnderson,en,"(n.Onewhohasreturned,asiffromthedead.)",http://www.foxmovies.com/movies/the-revenant,TheRevenant,"Inthe1820s,afrontiersman,HughGlass,setsoutonapathofvengeanceagainstthosewholefthimfordeadafterabearmauling.",,Released,RegencyEnterprises,AppianWay,CatchPlay,AnonymousContent,NewRegencyPictures,HongKongAlphaMotionPicturesCo.,RatPacEntertainment,MProductions,MonarchyEnterprisesS.a.r.l.,,,CA, Canada, HK, Hong Kong, TW, Taiwan, US, United States of America,en,English,fr,French,,,,,,,,,1
Turbo,135000000,282570682,44.765377,11/7/13,96,6.1,1074,Animation,Family,,,underdog,carrace,dream,speed,power,snail,fast,friends,superpower,racer,,,,,,,,,,,,,,,,,77950,Turbo(voice),RyanReynolds,Chet(voice),Tito(voice),MichaelPe\u00f1a,Whiplash(voice),Angelo(voice),LuisGuzm\u00e1n,en,SLONOMO,http://www.turbomovie.com/,Turbo,ThetaleofanordinarygardensnailwhodreamsofwinningtheIndy500.,,Released,DreamWorksAnimation,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Rango,135000000,245724603,29.91353,2/3/11,107,6.6,2051,Animation,Comedy,Family,Western,sheriff,nevada,pet,rango,chameleon,lasvegas,cactus,terrarium,constructionsite,armadillo,disillusionment,,,,,,,,,,,,,,,,44896,Rango(voice),JohnnyDepp,Beans(Voice),TortoiseJohn(voice),NedBeatty,RattlesnakeJake(voice),Roadkill(Voice),AlfredMolina,en,Heroescomeinalldifferentcolors.,http://www.rangomovie.com/,Rango,"WhenRango,alostfamilypet,accidentallywindsupinthegritty,gun-slingingtownofDirt,theless-than-courageouslizardsuddenlyfindshestandsout.Welcomedasthelasthopethetownhasbeenwaitingfor,newSheriffRangoisforcedtoplayhisnewroletothehilt.",,Released,ParamountPictures,NickelodeonMovies,GKFilms,BlindWink,ParamountAnimation,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Penguins of Madagascar,132000000,373552094,84.366984,22/11/14,92,6.5,1346,Family,Animation,Adventure,Comedy,penguin,madagascar,3d,,,,,,,,,,,,,,,,,,,,,,,,270946,Skipper(voice),TomMcGrath,Kowalski(voice),Private(voice),ChristopherKnights,Rico(voice),Dave(voice),JohnMalkovich,en,TheMovieEventThatWillBlowTheirCover,,PenguinsofMadagascar,"Skipper,Kowalski,RicoandPrivatejoinforceswithundercoverorganizationTheNorthWindtostopthevillainousDr.OctaviusBrinefromdestroyingtheworldasweknowit.",,Released,DreamWorksAnimation,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
The Bourne Ultimatum,70000000,442824138,45.381501,3/8/07,115,7.3,2888,Action,Drama,Mystery,Thriller,aris,corruption,madrid,assassin,basedonnovel,europe,prosecution,dangerous,falseidentity,revelation,government,weapon,interpol,sequel,conspiracy,shootout,espionage,motorcycle,violence,footchase,moskow,darkpast,langleyvirginia,flashback,chaseontheroof,"id:226522,name:securityleak",2503,JasonBourne,MattDamon,NickyParsons,NoahVosen,DavidStrathairn,EzraKramer,SimonRoss,PaddyConsidine,en,Remembereverything.Forgivenothing.,http://www.universalstudiosentertainment.com/the-bourne-ultimatum/,TheBourneUltimatum,"BourneisbroughtoutofhidingonceagainbyreporterSimonRosswhoistryingtounveilOperationBlackbriar,anupgradetoProjectTreadstone,inaseriesofnewspapercolumns.Informationfromthereporterstirsanewsetofmemories,andBournemustfinallyuncoverhisdarkpastwhiledodgingTheCompany'sbesteffortstoeradicatehim.",,Released,UniversalPictures,TheKennedy/MarshallCompany,LudlumEntertainment,MotionPictureBETAProduktionsgesellschaft,BourneAgain,,,,,,,DE, Germany, US, United States of America,,,,,en,English,fr,French,ar,Arabic,ru,Russian,es,"Spanish, Castilian",,,1
Kung Fu Panda,130000000,631744560,84.689648,4/6/08,90,6.9,3145,Adventure,Animation,Family,Comedy,china,martialarts,kungfu,mentor,snake,restaurant,shop,strongwoman,bravery,tiger,turtle,panda,sensei,anthropomorphism,fighting,ancientchina,monkey,master,destiny,evil,aftercreditsstinger,monkeywarrior,noodle,,,,9502,Po(voice),JackBlack,Shifu(voice),MasterTigress(voice),AngelinaJolie,MasterMonkey(voice),MasterViper(voice),LucyLiu,en,Prepareforawesomeness.,http://www.kungfupanda.com/,KungFuPanda,"WhentheValleyofPeaceisthreatened,lazyPothepandadiscovershisdestinyasthe""chosenone""andtrainstobecomeakungfuhero,buttransformingtheunsleekslackerintoabravewarriorwon'tbeeasy.It'suptoMasterShifuandtheFuriousFive--Tigress,Crane,Mantis,ViperandMonkey--togiveitatry.",,Released,DreamWorksAnimation,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Ant-Man,130000000,519311965,120.09361,14/7/15,117,7,5880,ScienceFiction,Action,Adventure,,marvelcomic,superhero,basedoncomicbook,aftercreditsstinger,duringcreditsstinger,marvelcinematicuniverse,3d,,,,,,,,,,,,,,,,,,,,102899,ScottLang/Ant-Man,PaulRudd,Dr.HankPym,HopevanDyne,EvangelineLilly,DarrenCross/Yellowjacket,Paxton,BobbyCannavale,en,Heroesdon'tgetanybigger.,http://marvel.com/movies/movie/180/ant-man,Ant-Man,"Armedwiththeastonishingabilitytoshrinkinscalebutincreaseinstrength,masterthiefScottLangmustembracehisinner-heroandhelphismentor,DoctorHankPym,protectthesecretbehindhisspectacularAnt-Mansuitfromanewgenerationoftoweringthreats.Againstseeminglyinsurmountableobstacles,PymandLangmustplanandpulloffaheistthatwillsavetheworld.",,Released,MarvelStudios,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
The Hunger Games: Catching Fire,130000000,847423452,76.310119,15/11/13,146,7.4,6495,Adventure,Action,ScienceFiction,,competition,basedonnovel,mentor,secret,factory,television,propaganda,future,dystopia,alliance,games,president,uprising,sequel,murder,survival,conspiracy,rebellion,blood,femaleprotagonist,tournament,explosion,danger,imax,winner,"id:223438,name:basedonyoungadultnovel",101299,KatnissEverdeen,JenniferLawrence,PeetaMellark,GaleHawthorne,LiamHemsworth,HaymitchAbernathy,EffieTrinket,ElizabethBanks,en,Everyrevolutionbeginswithaspark.,http://www.thehungergames.movie/,TheHungerGames:CatchingFire,"KatnissEverdeenhasreturnedhomesafeafterwinningthe74thAnnualHungerGamesalongwithfellowtributePeetaMellark.Winningmeansthattheymustturnaroundandleavetheirfamilyandclosefriends,embarkingona""Victor'sTour""ofthedistricts.AlongthewayKatnisssensesthatarebellionissimmering,buttheCapitolisstillverymuchincontrolasPresidentSnowpreparesthe75thAnnualHungerGames(TheQuarterQuell)-acompetitionthatcouldchangePanemforever.",,Released,Lionsgate,ColorForce,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Home,135000000,368871007,63.473086,18/3/15,94,6.8,1519,Fantasy,Comedy,Animation,ScienceFiction,friendship,spaceship,space,alien,alieninvasion,alienfriendship,awfulleader,takingresposibility,,,,,,,,,,,,,,,,,,,228161,Oh(voice),JimParsons,Gratuity'Tip'Tucci(voice),CapitainSmek(voice),SteveMartin,LucyTucci(voice),Kyle(voice),MattJones,en,WorldsCollide,http://www.meettheboov.com/,Home,"WhenEarthistakenoverbytheoverly-confidentBoov,analienraceinsearchofanewplacetocallhome,allhumansarepromptlyrelocated,whileallBoovgetbusyreorganizingtheplanet.Butwhenoneresourcefulgirl,Tip,managestoavoidcapture,shefindsherselftheaccidentalaccompliceofabanishedBoovnamedOh.Thetwofugitivesrealizethereäó»salotmoreatstakethanintergalacticrelationsastheyembarkontheroadtripofalifetime.",,Released,TwentiethCenturyFoxFilmCorporation,DreamWorksAnimation,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
War of the Worlds,132000000,591739379,48.572726,28/6/05,116,6.2,2322,Adventure,Thriller,ScienceFiction,,posttraumaticstressdisorder,newjersey,airplane,dystopia,daughter,apocalypse,alieninvasion,humansubjugation,,,,,,,,,,,,,,,,,,,74,RayFerrier,TomCruise,RachelFerrier,Mary-Ann,MirandaOtto,RobbieFerrier,HarlanOgilvy,TimRobbins,en,They'realreadyhere.,,WaroftheWorlds,"RayFerrierisadivorceddockworkerandless-than-perfectfather.Soonafterhisex-wifeandhernewhusbanddropofhisteenagesonandyoungdaughterforarareweekendvisit,astrangeandpowerfullightningstormtouchesdown.",,Released,ParamountPictures,DreamWorksSKG,Cruise/WagnerProductions,AmblinEntertainment,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Bad Boys II,130000000,273339556,38.068736,18/7/03,147,6.3,1564,Adventure,Action,Comedy,Thriller,miami,kukluxklan,cuba,undercover,mexicanstandoff,ecstasy,guant\u00e1namo,slaughter,shootout,gunfight,bromance,gangster,violence,footchase,interrogation,carchase,druglord,explodinghouse,narcoticscop,illegaldrugs,deaagent,buddycop,criminalunderworld,actionhero,haitiangang,"id:226381,name:minefield",8961,DetectiveMarcusBurnett,MartinLawrence,DetectiveMikeLowrey,HectorJuanCarlos'Johnny'Tapia,JordiMoll\u00e0,Sydney'Syd'Burnett,Alexei,PeterStormare,en,"Ifyoucan'tstandtheheat,getoutofMiami.",,BadBoysII,"Out-of-control,trash-talkingbuddycopsMarcusBurnettandMikeLowreyoftheMiamiNarcoticsTaskForcereunite,andbulletsfly,carscrashandlaughsexplodeastheypursueawhacked-outdruglordfromthestreetsofMiamitothebarriosofCuba.ButtherealfireworksresultwhenMarcusdiscoversthatplayboyMikeissecretlyromancingMarcusäó»sexysister.",,Released,ColumbiaPicturesCorporation,DonSimpson/JerryBruckheimerFilms,,,,,,,,,,US, United States of America,,,,,,,en,English,es,"Spanish, Castilian",,,,,,,,,1
Puss in Boots,130000000,554987477,20.678787,28/10/11,90,6.4,451,Action,Adventure,Animation,Family,adventure,fairy-talefigure,,,,,,,,,,,,,,,,,,,,,,,,,417859,PussinBoots(voice),AntonioBanderas,KittySoftpaws(voice),HumptyDumpty(voice),ZachGalifianakis,Jack(voice),Jill(voice),AmySedaris,en,Livefordanger.Fightforjustice.Prayformercy.,,PussinBoots,"LongbeforeheevenmetShrek,thenotoriousfighter,loverandoutlawPussinBootsbecomesaherowhenhesetsoffonanadventurewiththetoughandstreetsmartKittySoftpawsandthemastermindHumptyDumptytosavehistown.ThisisthetruestoryofTheCat,TheMyth,TheLegend...TheBoots.",,Released,DreamWorks,,,,,,,,,,,US, United States of America,,,,,,,es,"Spanish, Castilian",en,English,,,,,,,,,1
